IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
524288,	524288,	262144,	Conv1,	4.64496543994022,	0.026900803287875957,	12.275733233700729,	15.752444112335763,	61.28105735101812,
524288,	524288,	262144,	Conv2,	6.0293198750300405,	0.2076423936553713,	0.18174717615957703,	52.760634462869504,	70.15230713770728,
524288,	524288,	262144,	Conv3,	9.374967886587104,	0.04783146880911787,	18.749935773174208,	18.915851180605834,	56.24980731952262,
524288,	524288,	262144,	Conv4,	17.350629817634893,	0.14438804286520024,	0.06319065822731926,	36.68784859309394,	40.757974556620916,
524288,	524288,	262144,	Conv5,	6.003529658101762,	0.2450420268612964,	12.007059316203524,	18.37815201459723,	23.891597618976398,
524288,	524288,	262144,	Conv6,	6.533652359327441,	0.225010986864593,	0.047463255041750085,	55.129449680160164,	54.69466282533327,
524288,	524288,	262144,	Conv7,	8.48588884425935,	0.34636280996976937,	8.48588884425935,	25.974504788279813,	16.885186986026255,
524288,	524288,	262144,	Conv8,	13.008567109020662,	0.11610952460944061,	0.02449185284730388,	28.44774063497396,	28.435041155719805,
524288,	524288,	262144,	Conv9,	5.3441261050165085,	1.7450207689849824,	10.688252210033017,	29.92437959314091,	15.93694749174566,
524288,	524288,	262144,	Conv10,	6.515094462117769,	0.22437187560864766,	0.021943777186262416,	51.0089592936441,	50.95345062650133,
524288,	524288,	262144,	Conv11,	8.04102564102564,	2.6564102564102563,	8.04102564102564,	18.666666666666668,	23.97948717948718,
524288,	524288,	262144,	Conv12,	11.482434012182367,	0.14175844459484402,	0.010398080354396112,	24.241801513566728,	24.144342582907772,
524288,	524288,	262144,	Conv13,	3.7551264780721447,	9.8093099835354,	7.5102529561442894,	13.660230504415507,	18.775632390360723,
524288,	524288,	262144,	Conv14,	5.323713527851459,	0.24445623342175066,	0.007639257294429708,	35.6925198938992,	35.47671087533156,
524288,	524288,	262144,	Conv15,	4.62323781442919,	12.07702939279462,	4.62323781442919,	16.818206947387818,	23.11618907214595,
524288,	524288,	262144,	Conv16,	5.323713527851459,	0.24445623342175066,	0.007639257294429708,	35.6925198938992,	35.47671087533156,
524288,	524288,	262144,	Conv17,	4.62323781442919,	12.07702939279462,	4.62323781442919,	16.818206947387818,	23.11618907214595,
524288,	524288,	262144,	Conv18,	5.323713527851459,	0.24445623342175066,	0.007639257294429708,	35.6925198938992,	35.47671087533156,
524288,	524288,	262144,	Conv19,	4.62323781442919,	12.07702939279462,	4.62323781442919,	16.818206947387818,	23.11618907214595,
524288,	524288,	262144,	Conv20,	5.323713527851459,	0.24445623342175066,	0.007639257294429708,	35.6925198938992,	35.47671087533156,
524288,	524288,	262144,	Conv21,	4.62323781442919,	12.07702939279462,	4.62323781442919,	16.818206947387818,	23.11618907214595,
524288,	524288,	262144,	Conv22,	5.323713527851459,	0.24445623342175066,	0.007639257294429708,	35.6925198938992,	35.47671087533156,
524288,	524288,	262144,	Conv23,	4.62323781442919,	12.07702939279462,	4.62323781442919,	16.818206947387818,	23.11618907214595,
524288,	524288,	262144,	Conv24,	5.830334883094131,	0.31049120679199516,	0.002425712553062462,	11.801091570648879,	3.2310491206791996,
524288,	524288,	262144,	Conv25,	0.7371018921142319,	15.403925255611705,	1.4742037842284639,	16.276413209542838,	6.178986954988836,
524288,	524288,	262144,	Conv26,	2.324038906901343,	0.4268642890226957,	0.00041685965724872626,	4.698842056507642,	0.3001389532190829,
524288,	524288,	262144,	Conv27,	1.2751855240418828,	26.64877503303853,	1.2751855240418828,	28.158178306394227,	10.689641150757344,
