IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
524288,	524288,	262144,	Conv1,	2.5161828945371134,	0.014572194768177294,	6.649778212544906,	8.533116324568653,	33.19601625879138,
524288,	524288,	262144,	Conv2,	4.600612027369314,	0.15843944482011668,	0.13868035896436717,	40.25847268226152,	53.52901399410895,
524288,	524288,	262144,	Conv3,	5.225646032675909,	0.026661459350387294,	10.451292065351819,	10.543774002473475,	31.35387619605546,
524288,	524288,	262144,	Conv4,	11.188533864971173,	0.09310846489573792,	0.04074842394525567,	23.658117355460963,	26.282733444689907,
524288,	524288,	262144,	Conv5,	3.158902039788466,	0.1289347771342231,	6.317804079576932,	9.670108285066734,	12.571140770586753,
524288,	524288,	262144,	Conv6,	4.916022681346674,	0.16930180152596966,	0.03571209875938423,	41.48026404418699,	41.1531235839467,
524288,	524288,	262144,	Conv7,	4.5905103896252415,	0.1873677710051119,	4.5905103896252415,	14.051119014672414,	9.134178836499204,
524288,	524288,	262144,	Conv8,	7.8761619983320115,	0.07029962775370721,	0.014828827729297615,	17.22395801550009,	17.21626899371453,
524288,	524288,	262144,	Conv9,	2.9662735361059385,	0.9685791138305104,	5.932547072211877,	16.609618397327896,	8.84585143803021,
524288,	524288,	262144,	Conv10,	4.910189602446483,	0.16910091743119265,	0.01653822629969419,	38.44359633027523,	38.401761467889905,
524288,	524288,	262144,	Conv11,	4.457117477237397,	1.4724405951587831,	4.457117477237397,	10.34687985787253,	13.291761048190095,
524288,	524288,	262144,	Conv12,	7.292278837136605,	0.09002813379180995,	0.0066036261331666145,	15.395514223194748,	15.33361988121288,
524288,	524288,	262144,	Conv13,	2.0123526108927567,	5.256757840699446,	4.0247052217855135,	7.320445977380284,	10.061763054463784,
524288,	524288,	262144,	Conv14,	4.203225130890052,	0.19300523560209423,	0.006031413612565445,	28.1802722513089,	28.009884816753928,
524288,	524288,	262144,	Conv15,	2.5194446536617208,	6.5814064422183725,	2.5194446536617208,	9.165122643167383,	12.597223268308603,
524288,	524288,	262144,	Conv16,	4.203225130890052,	0.19300523560209423,	0.006031413612565445,	28.1802722513089,	28.009884816753928,
524288,	524288,	262144,	Conv17,	2.5194446536617208,	6.5814064422183725,	2.5194446536617208,	9.165122643167383,	12.597223268308603,
524288,	524288,	262144,	Conv18,	4.203225130890052,	0.19300523560209423,	0.006031413612565445,	28.1802722513089,	28.009884816753928,
524288,	524288,	262144,	Conv19,	2.5194446536617208,	6.5814064422183725,	2.5194446536617208,	9.165122643167383,	12.597223268308603,
524288,	524288,	262144,	Conv20,	4.203225130890052,	0.19300523560209423,	0.006031413612565445,	28.1802722513089,	28.009884816753928,
524288,	524288,	262144,	Conv21,	2.5194446536617208,	6.5814064422183725,	2.5194446536617208,	9.165122643167383,	12.597223268308603,
524288,	524288,	262144,	Conv22,	4.203225130890052,	0.19300523560209423,	0.006031413612565445,	28.1802722513089,	28.009884816753928,
524288,	524288,	262144,	Conv23,	2.5194446536617208,	6.5814064422183725,	2.5194446536617208,	9.165122643167383,	12.597223268308603,
524288,	524288,	262144,	Conv24,	4.513954822891126,	0.24038812666284104,	0.0018780322395534456,	9.136626845427513,	2.5015389430851895,
524288,	524288,	262144,	Conv25,	0.3997514300737743,	8.353989069296833,	0.7995028601475486,	8.827164231424975,	3.351041284915311,
524288,	524288,	262144,	Conv26,	2.082078094526744,	0.3824225071579734,	0.0003734594796464584,	4.209635254574879,	0.26889082534545,
524288,	524288,	262144,	Conv27,	0.7371127205417872,	15.404151547648778,	0.7371127205417872,	16.276652318902322,	6.179077727666701,
