Layer,	Cycles,	% Utilization,
Conv1,	7561,	165.61811185043936,
Conv2,	45900,	167.89930555555554,
Conv3,	9171,	194.25907752698723,
Conv4,	21504,	182.87295386904762,
Conv5,	5369,	187.51629726206,
Conv6,	41220,	190.5267467248908,
Conv7,	11315,	192.37737516570922,
Conv8,	10368,	189.84375,
Conv9,	3724,	167.02134801288938,
Conv10,	20736,	176.04166666666669,
Conv11,	4888,	159.5693535188216,
Conv12,	6912,	132.03125,
Conv13,	1790,	153.125,
Conv14,	13824,	112.5,
Conv15,	3580,	153.125,
Conv16,	13824,	112.5,
Conv17,	3580,	153.125,
Conv18,	13824,	112.5,
Conv19,	3580,	153.125,
Conv20,	13824,	112.5,
Conv21,	3580,	153.125,
Conv22,	13824,	112.5,
Conv23,	3580,	153.125,
Conv24,	10512,	28.125,
Conv25,	5312,	38.28125,
Conv26,	19080,	7.03125,
Conv27,	10624,	38.28125,
