IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	Max DRAM IFMAP Read BW,	Max DRAM Filter Read BW,	Max DRAM OFMAP Write BW,	Max SRAM Read BW,	Max SRAM OFMAP Write BW,
524288,	524288,	262144,	Conv1,	20,	20,	20,	560,	1024,
524288,	524288,	262144,	Conv2,	20,	20,	20,	384,	256,
524288,	524288,	262144,	Conv3,	20,	20,	90,	640,	1024,
524288,	524288,	262144,	Conv4,	23,	20,	20,	384,	256,
524288,	524288,	262144,	Conv5,	20,	20,	20,	640,	512,
524288,	524288,	262144,	Conv6,	20,	20,	20,	384,	256,
524288,	524288,	262144,	Conv7,	20,	20,	20,	640,	256,
524288,	524288,	262144,	Conv8,	20,	20,	20,	384,	256,
524288,	524288,	262144,	Conv9,	20,	20,	20,	640,	256,
524288,	524288,	262144,	Conv10,	20,	20,	20,	384,	256,
524288,	524288,	262144,	Conv11,	20,	20,	20,	384,	256,
524288,	524288,	262144,	Conv12,	20,	20,	20,	297,	169,
524288,	524288,	262144,	Conv13,	20,	20,	20,	324,	196,
524288,	524288,	262144,	Conv14,	20,	20,	20,	272,	144,
524288,	524288,	262144,	Conv15,	20,	20,	20,	324,	196,
524288,	524288,	262144,	Conv16,	20,	20,	20,	272,	144,
524288,	524288,	262144,	Conv17,	20,	20,	20,	324,	196,
524288,	524288,	262144,	Conv18,	20,	20,	20,	272,	144,
524288,	524288,	262144,	Conv19,	20,	20,	20,	324,	196,
524288,	524288,	262144,	Conv20,	20,	20,	20,	272,	144,
524288,	524288,	262144,	Conv21,	20,	20,	20,	324,	196,
524288,	524288,	262144,	Conv22,	20,	20,	20,	272,	144,
524288,	524288,	262144,	Conv23,	20,	20,	20,	324,	196,
524288,	524288,	262144,	Conv24,	20,	20,	20,	256,	36,
524288,	524288,	262144,	Conv25,	20,	20,	20,	256,	49,
524288,	524288,	262144,	Conv26,	20,	20,	9,	256,	9,
524288,	524288,	262144,	Conv27,	20,	97,	20,	256,	49,
