Layer,	DRAM_IFMAP_start,	DRAM_IFMAP_stop,	DRAM_IFMAP_bytes,	DRAM_Filter_start,	DRAM_Filter_stop,	DRAM_Filter_bytes,	DRAM_OFMAP_start,	DRAM_OFMAP_stop,	DRAM_OFMAP_bytes,	SRAM_read_start,	SRAM_read_stop,	SRAM_read_bytes,	SRAM_write_start,	SRAM_write_stop,	SRAM_write_bytes,
Conv1,	-7460.0,	-1.0,	149187,	-44.0,	-1.0,	864,	4944.0,	24658.0,	394272,	459.0,	7561.0,	1968225,	0.0,	7501.0,	505937,	
Conv2,	-20071.0,	-1.0,	401408,	-692.0,	-1.0,	13824,	45901.0,	46505.0,	12100,	256.0,	45900.0,	4670460,	0.0,	45800.0,	3512592,	
Conv3,	-20071.0,	-1.0,	401408,	-103.0,	-1.0,	2048,	2940.0,	22746.0,	802816,	544.0,	9171.0,	2408448,	0.0,	9011.0,	809920,	
Conv4,	-26215.0,	13317.0,	830592,	-346.0,	-1.0,	6912,	21505.0,	21656.0,	3025,	256.0,	21504.0,	1951125,	0.0,	21312.0,	1756284,	
Conv5,	-10036.0,	-1.0,	200704,	-410.0,	-1.0,	8192,	3324.0,	23395.0,	401408,	576.0,	5369.0,	798720,	0.0,	5241.0,	614400,	
Conv6,	-20071.0,	-1.0,	401408,	-692.0,	-1.0,	13824,	41221.0,	41366.0,	2916,	256.0,	41220.0,	3360276,	0.0,	40992.0,	3386988,	
Conv7,	-20071.0,	-1.0,	401408,	-820.0,	-1.0,	16384,	7160.0,	27232.0,	401408,	640.0,	11315.0,	798720,	0.0,	11123.0,	1228672,	
Conv8,	-19360.0,	-1.0,	387200,	-173.0,	-1.0,	3456,	10369.0,	10405.0,	729,	256.0,	10368.0,	846369,	0.0,	10112.0,	846747,	
Conv9,	-5018.0,	-1.0,	100352,	-1639.0,	-1.0,	32768,	3725.0,	13760.0,	200704,	640.0,	3724.0,	299264,	0.0,	3580.0,	561920,	
Conv10,	-10036.0,	-1.0,	200704,	-346.0,	-1.0,	6912,	20737.0,	20770.0,	676,	256.0,	20736.0,	1569672,	0.0,	20480.0,	1571382,	
Conv11,	-10036.0,	-1.0,	200704,	-3316.0,	-1.0,	66304,	4889.0,	14924.0,	200704,	256.0,	4888.0,	598528,	0.0,	4744.0,	465920,	
Conv12,	-9332.0,	-1.0,	186624,	-116.0,	-1.0,	2304,	6913.0,	6921.0,	169,	256.0,	6912.0,	392418,	0.0,	6656.0,	394002,	
Conv13,	-2509.0,	-1.0,	50176,	-6554.0,	-1.0,	131072,	1791.0,	6808.0,	100352,	256.0,	1790.0,	250880,	0.0,	1534.0,	182528,	
Conv14,	-5018.0,	-1.0,	100352,	-231.0,	-1.0,	4608,	13825.0,	13832.0,	144,	256.0,	13824.0,	668736,	0.0,	13568.0,	672804,	
Conv15,	-5018.0,	-1.0,	100352,	-13108.0,	-1.0,	262144,	3581.0,	8598.0,	100352,	256.0,	3580.0,	501760,	0.0,	3324.0,	365056,	
Conv16,	-5018.0,	-1.0,	100352,	-231.0,	-1.0,	4608,	13825.0,	13832.0,	144,	256.0,	13824.0,	668736,	0.0,	13568.0,	672804,	
Conv17,	-5018.0,	-1.0,	100352,	-13108.0,	-1.0,	262144,	3581.0,	8598.0,	100352,	256.0,	3580.0,	501760,	0.0,	3324.0,	365056,	
Conv18,	-5018.0,	-1.0,	100352,	-231.0,	-1.0,	4608,	13825.0,	13832.0,	144,	256.0,	13824.0,	668736,	0.0,	13568.0,	672804,	
Conv19,	-5018.0,	-1.0,	100352,	-13108.0,	-1.0,	262144,	3581.0,	8598.0,	100352,	256.0,	3580.0,	501760,	0.0,	3324.0,	365056,	
Conv20,	-5018.0,	-1.0,	100352,	-231.0,	-1.0,	4608,	13825.0,	13832.0,	144,	256.0,	13824.0,	668736,	0.0,	13568.0,	672804,	
Conv21,	-5018.0,	-1.0,	100352,	-13108.0,	-1.0,	262144,	3581.0,	8598.0,	100352,	256.0,	3580.0,	501760,	0.0,	3324.0,	365056,	
Conv22,	-5018.0,	-1.0,	100352,	-231.0,	-1.0,	4608,	13825.0,	13832.0,	144,	256.0,	13824.0,	668736,	0.0,	13568.0,	672804,	
Conv23,	-5018.0,	-1.0,	100352,	-13108.0,	-1.0,	262144,	3581.0,	8598.0,	100352,	256.0,	3580.0,	501760,	0.0,	3324.0,	365056,	
Conv24,	-4327.0,	-1.0,	86528,	-231.0,	-1.0,	4608,	10513.0,	10514.0,	36,	256.0,	10512.0,	47952,	0.0,	10348.0,	175140,	
Conv25,	-1255.0,	-1.0,	25088,	-26215.0,	-1.0,	524288,	5313.0,	7821.0,	50176,	256.0,	5312.0,	210308,	0.0,	5135.0,	553984,	
Conv26,	-2509.0,	-1.0,	50176,	-461.0,	-1.0,	9216,	19081.0,	19081.0,	9,	256.0,	19080.0,	6480,	0.0,	18943.0,	101448,	
Conv27,	-2509.0,	-1.0,	50176,	-26215.0,	5405.0,	1048576,	10625.0,	13133.0,	50176,	256.0,	10624.0,	420616,	0.0,	10447.0,	1107968,	
