IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
524288,	524288,	262144,	Conv1,	2.591716901481855,	0.015009641610062019,	6.849399788058301,	7.287841147959627,	34.192536872643885,
524288,	524288,	262144,	Conv2,	4.632521638776688,	0.15953837276399307,	0.0702135025966532,	40.53770340450087,	27.03136757068667,
524288,	524288,	262144,	Conv3,	5.443336994697802,	0.027772127523968376,	10.886673989395604,	8.218813989124392,	32.66002196818681,
524288,	524288,	262144,	Conv4,	11.21103567427484,	0.093295719896878,	0.02073238219930622,	23.70569735581141,	13.372386518552512,
524288,	524288,	262144,	Conv5,	3.2106475556693117,	0.13104683900691066,	6.421295111338623,	6.526746864601996,	12.77706680317379,
524288,	524288,	262144,	Conv6,	4.9245264500932375,	0.16959466090882325,	0.018500343507704388,	41.55201688095004,	21.169741878496417,
524288,	524288,	262144,	Conv7,	4.700603079805609,	0.1918613501961473,	4.700603079805609,	9.554095673048772,	9.353240822062181,
524288,	524288,	262144,	Conv8,	7.881612962322144,	0.07034828098601584,	0.00781647566511287,	17.235878437519084,	9.074928247196043,
524288,	524288,	262144,	Conv9,	3.085380476556495,	1.0074711760184474,	6.044827056110684,	10.196710222905457,	9.201045349730975,
524288,	524288,	262144,	Conv10,	4.913675757724135,	0.1692209763501934,	0.009401165352788524,	38.47089066248837,	21.82950594917495,
524288,	524288,	262144,	Conv11,	5.70198016989119,	1.8836898775533395,	2.909173556066934,	13.236739680104549,	8.625699593738458,
524288,	524288,	262144,	Conv12,	7.2934187900578396,	0.09004220728466468,	0.005002344849148038,	15.397920900422072,	11.615444739721745,
524288,	524288,	262144,	Conv13,	2.338989371620362,	6.110013052396047,	3.0550065261980235,	8.508670520231213,	7.637516315495059,
524288,	524288,	262144,	Conv14,	4.203577263016797,	0.19302140493444478,	0.005361705692623466,	28.182633100154987,	24.899761236543377,
524288,	524288,	262144,	Conv15,	2.760791218465432,	7.211862774766844,	1.802965693691711,	10.043082340642108,	9.014828468458555,
524288,	524288,	262144,	Conv16,	4.203577263016797,	0.19302140493444478,	0.005361705692623466,	28.182633100154987,	24.899761236543377,
524288,	524288,	262144,	Conv17,	2.760791218465432,	7.211862774766844,	1.802965693691711,	10.043082340642108,	9.014828468458555,
524288,	524288,	262144,	Conv18,	4.203577263016797,	0.19302140493444478,	0.005361705692623466,	28.182633100154987,	24.899761236543377,
524288,	524288,	262144,	Conv19,	2.760791218465432,	7.211862774766844,	1.802965693691711,	10.043082340642108,	9.014828468458555,
524288,	524288,	262144,	Conv20,	4.203577263016797,	0.19302140493444478,	0.005361705692623466,	28.182633100154987,	24.899761236543377,
524288,	524288,	262144,	Conv21,	2.760791218465432,	7.211862774766844,	1.802965693691711,	10.043082340642108,	9.014828468458555,
524288,	524288,	262144,	Conv22,	4.203577263016797,	0.19302140493444478,	0.005361705692623466,	28.182633100154987,	24.899761236543377,
524288,	524288,	262144,	Conv23,	2.760791218465432,	7.211862774766844,	1.802965693691711,	10.043082340642108,	9.014828468458555,
524288,	524288,	262144,	Conv24,	4.513954822891126,	0.24038812666284104,	0.0018780322395534456,	9.136626845427513,	2.5015389430851895,
524288,	524288,	262144,	Conv25,	0.3997514300737743,	8.353989069296833,	0.7995028601475486,	8.827164231424975,	3.351041284915311,
524288,	524288,	262144,	Conv26,	2.082078094526744,	0.3824225071579734,	0.0003734594796464584,	4.209635254574879,	0.26889082534545,
524288,	524288,	262144,	Conv27,	0.7371127205417872,	15.404151547648778,	0.7371127205417872,	16.276652318902322,	6.179077727666701,
